iter	Logloss
285	0.3243118079
286	0.3242271263
287	0.3241343124
288	0.324055237
289	0.3239840481
290	0.3238997633
291	0.32383026
292	0.3237184904
293	0.3236491579
294	0.3235886876
295	0.3235262433
296	0.3234289643
297	0.3233240521
298	0.3232515917
299	0.3231710026
300	0.3231031543
301	0.3229933832
302	0.3228740803
303	0.3227815021
304	0.3227148114
305	0.3226535104
306	0.322544584
307	0.3224546649
308	0.3223649854
309	0.3222642002
310	0.3221991047
311	0.3221241669
312	0.3220047317
313	0.3219043925
314	0.3218018911
315	0.3217307619
316	0.3216672934
317	0.3215716812
318	0.3214769368
319	0.3214051712
320	0.3213105395
321	0.3212416293
322	0.3211866837
323	0.3211154751
324	0.3210274211
325	0.3209548878
326	0.3208891815
327	0.3208279449
328	0.3207152791
329	0.3206414149
330	0.3205810217
331	0.3205084449
332	0.3204469509
333	0.3203903572
334	0.3203076109
335	0.3202425088
336	0.3201746018
337	0.3200844266
338	0.3200016522
339	0.3199317301
340	0.3198578763
341	0.3197507706
342	0.3197071423
343	0.3196031313
344	0.3195492756
345	0.3194831724
346	0.3193967759
347	0.3193075042
348	0.3192490056
349	0.3191878213
350	0.3191246978
351	0.3190435527
352	0.3189724709
353	0.3189270867
354	0.3188589121
355	0.3187792561
356	0.3186782735
357	0.3186079526
358	0.3185521421
359	0.3184864981
360	0.3184416085
361	0.3183888072
362	0.3183449813
363	0.3182597656
364	0.3182033206
365	0.3181082381
366	0.3180666209
367	0.3180186583
368	0.3179627474
369	0.3178801674
370	0.3177959816
371	0.3177437717
372	0.3176660191
373	0.3176133734
374	0.3175477918
375	0.3174730445
376	0.3173979609
377	0.3173443318
378	0.3172710079
379	0.3172250153
380	0.3171829382
381	0.317095281
382	0.3170236987
383	0.3169675191
384	0.3168739335
385	0.3168191065
386	0.3167579802
387	0.3166625363
388	0.3166250989
389	0.3165406617
390	0.3164677968
391	0.3164196982
392	0.3163786827
393	0.3163437333
394	0.3162692078
395	0.3162122996
396	0.3161240481
397	0.3160537692
398	0.316013128
399	0.3159666167
400	0.3159242017
401	0.3158782847
402	0.315818729
403	0.3157611224
404	0.3157129821
405	0.3156509698
406	0.3156028346
407	0.3155482462
408	0.3154873004
409	0.3154103269
410	0.3153575542
411	0.315307721
412	0.3152639119
413	0.3151952006
414	0.315144745
415	0.315112632
416	0.3150496207
417	0.3149858352
418	0.3149378454
419	0.3148946298
420	0.3148447187
421	0.3147895265
422	0.3147403222
423	0.3146789589
424	0.3146294198
425	0.3145672916
426	0.3145167409
427	0.3144665048
428	0.3144044076
429	0.3143600634
430	0.3143200482
431	0.3142671518
432	0.3142100402
433	0.3141735062
434	0.3141211108
435	0.3140636277
436	0.314006363
437	0.3139484238
438	0.3139099829
439	0.313859796
440	0.3137978735
441	0.3137298183
442	0.3136805649
443	0.3136436958
444	0.3135983556
445	0.3135274747
446	0.3134846953
447	0.3134335552
448	0.3133649572
449	0.3133205001
450	0.3132662609
451	0.3132204461
452	0.313178052
453	0.3131333511
454	0.313091745
455	0.3130465675
456	0.3129939015
457	0.3129569826
458	0.3128800107
459	0.3128319976
460	0.3127972924
461	0.3127230966
462	0.3126736622
463	0.3126355623
464	0.3125678186
465	0.3125212952
466	0.3124557408
467	0.3124125861
468	0.3123564492
469	0.3123201303
470	0.3122872253
471	0.3122331916
472	0.3121846883
473	0.3121244436
474	0.3120715177
475	0.3120024349
476	0.3119768828
477	0.3119325553
478	0.3118674868
479	0.3118202986
480	0.3117818283
481	0.3117418506
482	0.3117084003
483	0.3116597109
484	0.3116253014
485	0.3115961023
486	0.3115601092
487	0.3115096825
488	0.3114682897
489	0.3114308498
490	0.3113955349
491	0.3113436565
492	0.3112920065
493	0.3112419226
494	0.3111918877
495	0.3111267214
496	0.3110837136
497	0.3110327152
498	0.3109984552
499	0.3109634386
500	0.3109275847
501	0.3108887266
502	0.3108293558
503	0.3107718843
504	0.3107345369
505	0.3106857954
506	0.3106452728
507	0.3106000705
508	0.3105585436
509	0.3105032255
510	0.3104547303
511	0.3104142435
512	0.3103642106
513	0.3103214604
514	0.3102808836
515	0.3102492187
516	0.310218013
517	0.3101646064
518	0.310131927
519	0.3100947876
520	0.310053666
521	0.3100143021
522	0.3099694279
523	0.3099398534
524	0.3098840667
525	0.3098295976
526	0.3097889297
527	0.3097514973
528	0.3096961971
529	0.3096627773
530	0.3096180936
531	0.3095703624
532	0.3095313018
533	0.3094903723
534	0.3094567186
535	0.3094193305
536	0.3093765568
537	0.3093280818
538	0.3093009748
539	0.3092711706
540	0.3092198195
541	0.3091756147
542	0.3091292986
543	0.309079503
544	0.3090481336
545	0.3089915405
546	0.3089490217
547	0.3089120379
548	0.3088706579
549	0.3088435414
550	0.3088022991
551	0.3087750132
552	0.3087352757
553	0.3086966309
554	0.3086695614
555	0.308633866
556	0.3085774244
557	0.3085352065
558	0.308496126
559	0.3084657568
560	0.3084325815
561	0.3083897513
562	0.3083514341
563	0.3083093295
564	0.3082733103
565	0.3082263053
566	0.3081938595
567	0.3081426946
568	0.3080887968
569	0.3080517002
570	0.308012798
571	0.3079859213
572	0.3079510247
573	0.3079167034
574	0.3078785602
575	0.3078265004
576	0.3077907076
577	0.3077490774
578	0.3076998634
579	0.3076636683
580	0.3076222705
581	0.3075915091
582	0.3075548211
583	0.3075176723
584	0.3074922079
585	0.3074531886
586	0.3074145743
587	0.3073783013
588	0.3073331809
589	0.3073079418
590	0.3072830082
591	0.3072541886
592	0.3072090623
593	0.3071689467
594	0.307125931
595	0.307092932
596	0.3070595223
597	0.3070126044
598	0.3069880153
599	0.3069507959
600	0.3069175015
601	0.3068909549
602	0.3068559281
